Simulator,Envs,Model,Model File,Time Step,Real-Time Rate
MJX,256,Humanoid,other_models/humanoid.xml,0.005,1020.3993
MJX,512,Humanoid,other_models/humanoid.xml,0.005,1990.1597
MJX,1024,Humanoid,other_models/humanoid.xml,0.005,2072.1889
MJX,2048,Humanoid,other_models/humanoid.xml,0.005,1986.4895
MJX,4096,Humanoid,other_models/humanoid.xml,0.005,2084.2756442771943
MJX,8192,Humanoid,other_models/humanoid.xml,0.005,2068.4786
MjWarp,256,Humanoid,other_models/humanoid.xml,0.005,2577.0247
MjWarp,512,Humanoid,other_models/humanoid.xml,0.005,4832.7673
MjWarp,1024,Humanoid,other_models/humanoid.xml,0.005,8242.3624
MjWarp,2048,Humanoid,other_models/humanoid.xml,0.005,12539.2103
MjWarp,4096,Humanoid,other_models/humanoid.xml,0.005,15917.087080470845
MjWarp,8192,Humanoid,other_models/humanoid.xml,0.005,18083.0649
Genesis,256,Humanoid,other_models/humanoid.xml,0.005,601.4960
Genesis,512,Humanoid,other_models/humanoid.xml,0.005,1205.8082
Genesis,1024,Humanoid,other_models/humanoid.xml,0.005,2349.7940
Genesis,2048,Humanoid,other_models/humanoid.xml,0.005,4674.6185
Genesis,4096,Humanoid,other_models/humanoid.xml,0.005,8863.673640972565
Genesis,8192,Humanoid,other_models/humanoid.xml,0.005,11889.3005
